[326252]: 44ms SPX_TRACE_INFO:  usp_connection.cpp:502 Adding subscription key headers
[326252]: 44ms SPX_TRACE_INFO:  usp_connection.cpp:537 Set a user defined HTTP header 'User-agent':'SpeechSDK-Python/1.40.0 Linux Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 6.6.87.2-microsoft-standard-WSL2'
[326252]: 44ms SPX_TRACE_INFO:  usp_connection.cpp:552 connectionUrl=wss://localhost:8443/
[326252]: 44ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxTelemetry' as '151041793'
[326252]: 44ms SPX_DBG_TRACE_SCOPE_ENTER:  web_socket.cpp:216 CSpxWebSocket
[326252]: 44ms SPX_DBG_TRACE_SCOPE_EXIT:  web_socket.cpp:216 CSpxWebSocket
[326252]: 44ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxWebSocket' as '482598724'
[326252]: 44ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:31 UwsWebSocket
[326252]: 44ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:31 UwsWebSocket
[326252]: 44ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:43 Initialize
[326252]: 44ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:43 Initialize
[326252]: 44ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 SetRequestHeader
[326252]: 44ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 SetRequestHeader
[326252]: 44ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 SetRequestHeader
[326252]: 44ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 SetRequestHeader
[326252]: 44ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 SetRequestHeader
[326252]: 44ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 SetRequestHeader
[326252]: 44ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:215 SetOption
[326252]: 44ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:215 SetOption
[326252]: 44ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:215 SetOption
[326252]: 44ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:215 SetOption
[326252]: 44ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:215 SetOption
[326252]: 44ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:215 SetOption
[326252]: 44ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x0000002e9e70c0; name='SPEECH-ConnectionUrl'; value='wss://localhost:8443/'
